Id,title,era,age
E616/109,Conan Vol. 10: Iron Shadows In The Moon,The beginning,The Hyborian age
E616/110,Art Of Red Sonja,The beginning,The Hyborian age
E616/111,The Chronicles Of King Conan Vol. 1: The Witch Of The Mists And Other Stories,The beginning,The Hyborian age
E616/112,The Chronicles Of Solomon Kane,The beginning,The Hyborian age
E616/113,The Saga Of Solomon Kane,The beginning,The Hyborian age
E616/114,Solomon Kane: Castle Of The Devil,The beginning,The Hyborian age
E616/115,Solomon Kane: Death’s Black Riders,The beginning,The Hyborian age
E616/116,Haunt Of Horror: Edgar Allan Poe,The beginning,The Hyborian age
E616/117,Marvel Masterworks: Rawhide Kid Vol. 1,The beginning,The Hyborian age
E616/118,Marvel Masterworks: Rawhide Kid Vol. 2,The beginning,The Hyborian age
E616/119,Rio,The beginning,The Hyborian age
E616/120,Rio Rides Again,The beginning,The Hyborian age
E616/121,Rio At Bay,The beginning,The Hyborian age
E616/122,Two-Gun Kid: Sunset Riders Book 1,The beginning,The Hyborian age
E616/123,Two-Gun Kid: Sunset Riders Book 2,The beginning,The Hyborian age
E616/124,Blaze Of Glory,The beginning,The Hyborian age
E616/125,Apache Skies,The beginning,The Hyborian age
E616/126,Rawhide Kid: Slap Leather,The beginning,The Hyborian age
E616/127,Marvel Westerns,The beginning,The Hyborian age
E616/128,Ghost Rider: Trail Of Tears,The beginning,The Hyborian age
E616/129,Rawhide Kid: The Sensational Seven,The beginning,The Hyborian age
E616/130,War is Hell: The First Flight Of The Phantom Eagle,The beginning,The Hyborian age
E616/131,Haunt Of Horror: Lovecraft,The beginning,The Hyborian age
E616/132,Haunt Of Horror,The beginning,The Hyborian age
E616/133,Marvel Masterworks: Golden Age Marvel Comics Vol. 1,The beginning,The golden age
E616/134,Marvel Masterworks: Golden Age Daring Mystery Vol. 1,The beginning,The golden age
E616/135,Marvel Masterworks: Golden Age Marvel Comics Vol. 2,The beginning,The golden age
E616/136,Marvel Masterworks: Golden Age Mystic Comics Vol. 1,The beginning,The golden age
E616/137,Marvel Masterworks: Golden Age Marvel Comics Vol. 3,The beginning,The golden age
E616/138,Golden Age Marvel Comics Omnibus Vol. 1,The beginning,The golden age
E616/139,Marvel Masterworks: Golden Age Marvel Comics Vol. 4,The beginning,The golden age
E616/140,Marvel Masterworks: Golden Age Captain America Vol. 1,The beginning,The golden age
E616/141,Marvel Masterworks: Golden Age Marvel Comics Vol. 5,The beginning,The golden age
E616/142,Marvel Masterworks: Golden Age Human Torch Vol. 1,The beginning,The golden age
E616/143,Timely Comics Presents: The Human Torch,The beginning,The golden age
E616/144,Captain America: The Classic Years Vol. 1,The beginning,The golden age
E616/145,Marvel Masterworks: Golden Age Captain America Vol. 2,The beginning,The golden age
E616/146,Marvel Masterworks: Golden Age Sub-Mariner Vol. 1,The beginning,The golden age
E616/147,The Marvels Project,The beginning,The golden age
E616/148,Captain America: The Classic Years Vol. 2,The beginning,The golden age
E616/149,Captain America: The Classic Years,The beginning,The golden age
E616/150,Marvel Masterworks: Golden Age Daring Mystery Vol. 2,The beginning,The golden age
E616/151,Marvel Masterworks: Golden Age All-Winners Vol. 1,The beginning,The golden age
E616/152,Marvel Masterworks: Golden Age Captain America Vol. 3,The beginning,The golden age
E616/153,Marvel Masterworks: Golden Age USA Comics Vol. 1,The beginning,The golden age
E616/154,Marvel Masterworks: Golden Age Young Allies Vol. 1,The beginning,The golden age
E616/155,Marvel Masterworks: Golden Age Human Torch Vol. 2,The beginning,The golden age
E616/156,Marvel Masterworks: Golden Age Captain America Vol. 4,The beginning,The golden age
E616/157,Marvel Masterworks: Golden Age Sub-Mariner Vol. 2,The beginning,The golden age
E616/158,Marvel Masterworks: Golden Age Captain America Vol. 5,The beginning,The golden age
E616/159,Miss Fury,The beginning,The golden age
E616/160,Marvel Masterworks: Golden Age All-Winners Vol. 2,The beginning,The golden age
E616/161,Marvel Masterworks: Golden Age Human Torch Vol. 3,The beginning,The golden age
E616/162,Marvel Masterworks: Golden Age Sub-Mariner Vol. 3,The beginning,The golden age
E616/163,Marvel Masterworks: Golden Age All-Winners Vol. 3,The beginning,The golden age
E616/164,Miss Fury Vol. 1,The beginning,The golden age
E616/165,Timely Comics Presents: All Winners Comics,The beginning,The golden age
E616/166,Secrets Behind The Comics,The beginning,The golden age
E616/167,X-Men: Magneto Testament,The beginning,The golden age
E616/168,Fury: Peacemaker,The beginning,The golden age
E616/169,Marvel Masterworks: Sgt. Fury Vol. 1,The beginning,The golden age
E616/170,Marvel Masterworks: Sgt. Fury Vol. 2,The beginning,The golden age
E616/171,Marvel Masterworks: Sgt. Fury Vol. 3,The beginning,The golden age
E616/172,Invaders Classic Vol. 1,The beginning,The golden age
E616/173,Invaders Classic Vol. 2,The beginning,The golden age
E616/174,Invaders Classic Vol. 3,The beginning,The golden age
E616/175,Invaders Classic Vol. 4,The beginning,The golden age
E616/176,Captain America / Black Panther: Flags Of Our Fathers,The beginning,The golden age
E616/177,Captain America: The 1940s Newspaper Strip,The beginning,The golden age
E616/178,Marvel Masterworks: Atlas Era Venus Vol. 1,The beginning,The golden age
E616/179,Marvel Masterworks: Atlas Era Strange Tales Vol. 1,The beginning,The golden age
E616/180,Tarpe Mills and Miss Fury,The beginning,The golden age
E616/181,Marvel Masterworks: Atlas Era Battlefield Vol. 1,The beginning,The golden age
E616/182,Marvel Masterworks: Atlas Era Journey Into Mystery Vol. 1,The beginning,The golden age
E616/183,Marvel Masterworks: Atlas Era Strange Tales Vol. 2,The beginning,The golden age
E616/184,Golden Age Of Marvel Comics Vol. 1,The beginning,The golden age
E616/185,Golden Age Of Marvel Comics Vol. 2,The beginning,The golden age
E616/186,Marvel Masterworks: Atlas Era Menace Vol. 1,The beginning,The golden age
E616/187,Marvel Masterworks: Atlas Era Heroes Vol. 1,The beginning,The golden age
E616/188,Marvel Masterworks: Atlas Era Strange Tales Vol. 3,The beginning,The golden age
E616/189,Marvel Masterworks: Atlas Era Jungle Adventure Vol. 1,The beginning,The golden age
E616/190,Marvel Masterworks: Atlas Era Heroes Vol. 2,The beginning,The golden age
E616/191,Marvel Masterworks: Atlas Era Journey Into Mystery Vol. 2,The beginning,The golden age
E616/192,Marvel Masterworks: Atlas Era Jungle Adventure Vol. 2,The beginning,The golden age
E616/193,Marvel Masterworks: Atlas Era Heroes Vol. 3,The beginning,The golden age
E616/194,Marvel Masterworks: Atlas Era Strange Tales Vol. 4,The beginning,The golden age
E616/195,Sub-Mariner: The Depths,The beginning,The golden age
E616/196,Captain America: America First,The beginning,The golden age
E616/197,Marvel Masterworks: Atlas Era Journey Into Mystery Vol. 3,The beginning,The golden age
E616/198,Marvel Masterworks: Atlas Era Black Knight / Yellow Claw Vol. 1,The beginning,The golden age
E616/199,Marvel Masterworks: Atlas Era Tales To Astonish Vol. 1,The beginning,The golden age
E616/200,Marvel Masterworks: Atlas Era Tales Of Suspense Vol. 1,The beginning,The golden age
E616/201,Marvel Masterworks: Atlas Era Tales To Astonish Vol. 2,The beginning,The golden age
E616/202,Marvel Masterworks: Atlas Era Tales Of Suspense Vol. 2,The beginning,The golden age
E616/203,Fantastic Four: Maximum Edition,The beginning,The golden age
E616/204,Marvel Masterworks: Atlas Era Tales To Astonish Vol. 3,The beginning,The golden age
E616/205,Monster Masterworks,The beginning,The golden age
E616/206,Marvel Masterworks: Atlas Era Tales Of Suspense Vol. 3,The beginning,The golden age
E616/207,Amazing Fantasy Omnibus,The beginning,The golden age
E616/208,Birth Of Spider-Man Box Set,Classic origins,The silver age
E616/209,Spider-Man: With Great Power…,Classic origins,The silver age
E616/210,Thor: First Thunder,Classic origins,The silver age
E616/211,Thor: The Mighty Avenger Vol. 1,Classic origins,The silver age
E616/212,Thor: The Mighty Avenger Vol. 2,Classic origins,The silver age
E616/213,Fantastic Four Pocket Book,Classic origins,The silver age
E616/214,Marvel Masterworks: Fantastic Four Vol. 1,Classic origins,The silver age
E616/215,Fantastic Four Collector’s Album,Classic origins,The silver age
E616/216,Fantastic Four: First Family,Classic origins,The silver age
E616/217,Incredible Hulk Pocket Book 1,Classic origins,The silver age
E616/218,Hulk: The Coming Of The Hulk,Classic origins,The silver age
E616/219,Marvel Masterworks: The Incredible Hulk Vol. 1,Classic origins,The silver age
E616/220,Spider-Man Visionaries: Kurt Busiek,Classic origins,The silver age
E616/221,Untold Tales Of Spider-Man,Classic origins,The silver age
E616/222,Untold Tales Of Spider-Man: Strange Encounter,Classic origins,The silver age
E616/223,Spider-Man / Dr. Octopus: Year One,Classic origins,The silver age
E616/224,Amazing Spider-Man Masterworks Volume 1,Classic origins,The silver age
E616/225,Amazing Spider-Man Pocket Book 1,Classic origins,The silver age
E616/226,Essential Fantastic Four Vol. 1,Classic origins,The silver age
E616/227,Marvel Masterworks: Fantastic Four Vol. 2,Classic origins,The silver age
E616/228,Marvel Masterworks: The Mighty Thor Vol. 1,Classic origins,The silver age
E616/229,Marvel Masterworks: Ant-Man / Giant-Man Vol. 1,Classic origins,The silver age
E616/230,Marvel Masterworks: The Human Torch Vol. 1,Classic origins,The silver age
E616/231,Marvel Masterworks: The Invincible Iron Man Vol. 1,Classic origins,The silver age
E616/232,Iron Man: Enter The Mandarin,Classic origins,The silver age
E616/233,Marvel Masterworks: The Amazing Spider-Man Vol. 1,Classic origins,The silver age
E616/234,X-Men: Children Of The Atom,Classic origins,The silver age
E616/235,Marvel: Classic Origins,Classic origins,The silver age
E616/236,Avengers Masterworks Vol. 1,Classic origins,The silver age
E616/237,Avengers: The Origin,Classic origins,The silver age
E616/238,Avengers: Earth’s Mightiest Heroes,Classic origins,The silver age
E616/239,Amazing Spider-Man Pocket Book 2,Classic origins,The silver age
E616/240,Fantastic Four Omnibus Vol. 1,Classic origins,The silver age
E616/241,Marvel Masterworks: Fantastic Four Vol. 3,Classic origins,The silver age
E616/242,Amazing Spider-Man Collector’s Album,Classic origins,The silver age
E616/243,Marvel Masterworks: The Avengers Vol. 1,Classic origins,The silver age
E616/244,Marvel Masterworks: The Mighty Thor Vol. 2,Classic origins,The silver age
E616/245,Marvel Masterworks: The Amazing Spider-Man Vol. 2,Classic origins,The silver age
E616/246,Incredible Hulk Collector’s Album,Classic origins,The silver age
E616/247,Essential Thor Vol. 1,Classic origins,The silver age
E616/248,Essential Spider-Man Vol. 1,Classic origins,The silver age
E616/249,Amazing Spider-Man Pocket Book 3,Classic origins,The silver age
E616/250,Strange: Beginnings And Endings,Classic origins,The silver age
E616/251,Doctor Strange: Master Of The Mystic Arts Pocket Book 1,Classic origins,The silver age
E616/252,Fantastic Four Return Collector’s Album,Classic origins,The silver age
E616/253,Marvel Masterworks: The X-Men Vol. 1,Classic origins,The silver age
E616/254,The Mighty Thor Collector’s Album,Classic origins,The silver age
E616/255,Marvel Masterworks: The Invincible Iron Man Vol. 2,Classic origins,The silver age
E616/256,Daredevil: The Man Without Fear,Classic origins,The silver age
E616/257,Essential Human Torch Vol. 1,Classic origins,The silver age
E616/258,Marvel Masterworks: The Human Torch Vol. 2,Classic origins,The silver age
E616/259,Essential Ant-Man Vol. 1,Classic origins,The silver age
E616/260,Marvel Masterworks: Ant-Man / Giant-Man Vol. 2,Classic origins,The silver age
E616/261,Essential Fantastic Four Vol. 2,Classic origins,The silver age
E616/262,Marvel Masterworks: Fantastic Four Vol. 4,Classic origins,The silver age
E616/263,Marvel Masterworks: The Avengers Vol. 2,Classic origins,The silver age
E616/264,The Mighty Thor Omnibus Vol. 1,Classic origins,The silver age
E616/265,Marvel Masterworks: The Mighty Thor Vol. 3,Classic origins,The silver age
E616/266,Thor: Blood Oath,Classic origins,The silver age
E616/267,Captain America Pocket Book,Classic origins,The silver age
E616/268,Marvel Masterworks: The Amazing Spider-Man Vol. 3,Classic origins,The silver age
E616/269,Essential Iron Man Vol. 1,Classic origins,The silver age
E616/270,Marvel Masterworks: Daredevil Vol. 1,Classic origins,The silver age
E616/271,Essential Avengers Vol. 1,Classic origins,The silver age
E616/272,Marvel Masterworks: Doctor Strange Vol. 1,Classic origins,The silver age
E616/273,Marvel Masterworks: The Incredible Hulk Vol. 2,Classic origins,The silver age
E616/274,Doctor Strange: Master Of The Mystic Arts Pocket Book 2,Classic origins,The silver age
E616/275,Marvel Masterworks: Fantastic Four Vol. 5,Classic origins,The silver age
E616/276,Silver Surfer: The Coming Of Galactus,Classic origins,The silver age
E616/277,Marvel Masterworks: The X-Men Vol. 2,Classic origins,The silver age
E616/278,Fantastic Four: The Coming Of Galactus,Classic origins,The silver age
E616/279,Amazing Spider-Man Omnibus Vol. 1,Classic origins,The silver age
E616/280,Marvel Masterworks: The Avengers Vol. 3,Classic origins,The silver age
E616/281,Marvel Masterworks: The Mighty Thor Vol. 4,Classic origins,The silver age
E616/282,Essential Classic X-Men Vol. 1 (formerly Uncanny X-Men Vol. 1),Classic origins,The silver age
E616/283,Marvel Masterworks: Captain America Vol. 1,Classic origins,The silver age
E616/284,Marvel Masterworks: The Amazing Spider-Man Vol. 4,Classic origins,The silver age
E616/285,Here Comes… Daredevil Collector’s Album,Classic origins,The silver age
E616/286,Marvel Masterworks: Daredevil Vol. 2,Classic origins,The silver age
E616/287,Iron Man Omnibus Vol. 1,Classic origins,The silver age
E616/288,Marvel Masterworks: The Invincible Iron Man Vol. 3,Classic origins,The silver age
E616/289,Essential Spider-Man Vol. 2,Classic origins,The silver age
E616/290,Marvel Mini Books,Classic origins,The silver age
E616/291,Essential Thor Vol. 2,Classic origins,The silver age
E616/292,Marvel Masterworks: The Sub – Mariner Vol. 1,Classic origins,The silver age
E616/293,Incredible Hulk,Classic origins,The silver age
E616/294,Essential Daredevil Vol. 1,Classic origins,The silver age
E616/295,"Marvel Masterworks: Nick Fury, Agent Of S.H.I.E.L.D. Vol. 1",Classic origins,The silver age
E616/296,Marvel Masterworks: Fantastic Four Vol. 6,Classic origins,The silver age
E616/297,Fantastic Four: Doomsday,Classic origins,The silver age
E616/298,Amazing Spider-Man: The End Of The Green Goblin,Classic origins,The silver age
E616/299,X-Men Omnibus Vol. 1,Classic origins,The silver age
E616/300,Marvel Masterworks: The X-Men Vol. 3,Classic origins,The silver age
E616/301,Essential Incredible Hulk Vol. 1,Classic origins,The silver age
E616/302,Marvel Masterworks: The Avengers Vol. 4,Classic origins,The silver age
E616/303,Marvel Masterworks: The Mighty Thor Vol. 5,Classic origins,The silver age
E616/304,Essential Fantastic Four Vol. 3,Classic origins,The silver age
E616/305,Marvel Masterworks: The Amazing Spider-Man Vol. 5,Classic origins,The silver age
E616/306,Fantastic Four Omnibus Vol. 2,Classic origins,The silver age
E616/307,Marvel Masterworks: Daredevil Vol. 3,Classic origins,The silver age
E616/308,Amazing Spider-Man: Wings Of The Vulture,Classic origins,The silver age
E616/309,Fantastic Four: Featuring The Peerless Power Of The Silver Surfer,Classic origins,The silver age
E616/310,Fantastic Four: Where Stalks The Sandman,Classic origins,The silver age
E616/311,Essential Avengers Vol. 2,Classic origins,The silver age
E616/312,Incredible Hulk Pocket Book 2,Classic origins,The silver age
E616/313,Marvel Masterworks: Fantastic Four Vol. 7,Classic origins,The silver age
E616/314,Essential Iron Man Vol. 2,Classic origins,The silver age
E616/315,Marvel Masterworks: The X-Men Vol. 4,Classic origins,The silver age
E616/316,Marvel Masterworks: The Avengers Vol. 5,Classic origins,The silver age
E616/317,Incredible Hulk Omnibus Vol. 1,Classic origins,The silver age
E616/318,Marvel Masterworks: The Incredible Hulk Vol. 3,Classic origins,The silver age
E616/319,Marvel Masterworks: Captain America Vol. 2,Classic origins,The silver age
E616/320,Marvel Masterworks: The Mighty Thor Vol. 6,Classic origins,The silver age
E616/321,Fantastic Four: The Flames Of Battle,Classic origins,The silver age
E616/322,Essential Doctor Strange Vol. 1,Classic origins,The silver age
E616/323,Marvel Masterworks: Doctor Strange Vol. 2,Classic origins,The silver age
E616/324,"Nick Fury, Agent Of S.H.I.E.L.D.",Classic origins,The silver age
E616/325,Marvel Masterworks: The Invincible Iron Man Vol. 4,Classic origins,The silver age
E616/326,Marvel Masterworks: The Sub-Mariner Vol. 2,Classic origins,The silver age
E616/327,Essential Sub-Mariner Vol. 1,Classic origins,The silver age
E616/328,Essential Captain America Vol. 1,Classic origins,The silver age
E616/329,Marvel Masterworks: The Amazing Spider-Man Vol. 6,Classic origins,The silver age
E616/330,Amazing Spider-Man: To Kill A Spider-Man,Classic origins,The silver age
E616/331,Marvel Masterworks: Daredevil Vol. 4,Classic origins,The silver age
E616/332,Spectacular Spider-Man Facsimile,Classic origins,The silver age
E616/333,"Marvel Masterworks: Nick Fury, Agent Of S.H.I.E.L.D. Vol. 2",Classic origins,The silver age
E616/334,Invincible Iron Man: The Tragedy And The Triumph,Classic origins,The silver age
E616/335,Fantastic Firsts,Classic origins,The silver age
E616/336,Essential Spider-Man Vol. 3 (2005 Edition),Classic origins,The silver age
E616/337,Incredible Hulk: This Monster Unleashed,Classic origins,The silver age
E616/338,"Nick Fury, Agent Of S.H.I.E.L.D.: Who is Scorpio?",Classic origins,The silver age
E616/339,Marvel Masterworks: The Avengers Vol. 6,Classic origins,The silver age
E616/340,Bring On The Bad Guys,Classic origins,The silver age
E616/341,Bring On The Bad Guys (1998 Edition),Classic origins,The silver age
E616/342,Son Of Origins Of Marvel Comics,Classic origins,The silver age
E616/343,Marvel Masterworks: Fantastic Four Vol. 8,Classic origins,The silver age
E616/344,Marvel Masterworks: The Incredible Hulk Vol. 4,Classic origins,The silver age
E616/345,Amazing Spider-Man: Madness Of Mysterio,Classic origins,The silver age
E616/346,Marvel Masterworks: The Amazing Spider-Man Vol. 7,Classic origins,The silver age
E616/347,Essential Spider-Man Vol. 3 (2002 Edition),Classic origins,The silver age
E616/348,Essential Daredevil Vol. 2,Classic origins,The silver age
E616/349,Marvel Masterworks: Captain Marvel Vol. 1,Classic origins,The silver age
E616/350,Marvel’s Greatest Superhero Battles,Classic origins,The silver age
E616/351,Essential Classic X-Men Vol. 2,Classic origins,The silver age
E616/352,Essential Fantastic Four Vol. 4,Classic origins,The silver age
E616/353,Marvel Masterworks: The X-Men Vol. 5,Classic origins,The silver age
E616/354,Marvel Masterworks: The Mighty Thor Vol. 7,The ‘70s,The early ‘70s
E616/355,Marvel Masterworks: Doctor Strange Vol. 3,The ‘70s,The early ‘70s
E616/356,Silver Surfer: Origins,The ‘70s,The early ‘70s
E616/357,Marvel Masterworks: Captain America Vol. 3,The ‘70s,The early ‘70s
E616/358,Captain America Omnibus Vol. 1,The ‘70s,The early ‘70s
E616/359,Captain America: Collector’s Edition,The ‘70s,The early ‘70s
E616/360,Marvel Masterworks: The Invincible Iron Man Vol. 5,The ‘70s,The early ‘70s
E616/361,Marvel Masterworks: The Sub-Mariner Vol. 3,The ‘70s,The early ‘70s
E616/362,Marvel Masterworks: Daredevil Vol. 5,The ‘70s,The early ‘70s
E616/363,Fantastic Four,The ‘70s,The early ‘70s
E616/364,Marvel Masterworks: Silver Surfer Vol. 1,The ‘70s,The early ‘70s
E616/365,Invincible Iron Man: Unmasked,The ‘70s,The early ‘70s
E616/366,Essential Thor Vol. 3,The ‘70s,The early ‘70s
